Breakdown,2015,2016,2017,2018,2019,2020,2021F,2022F,2023F,2024F,2025F
Current Asset,"89,419,602.30","89,965,766.40","172,184,917.20","185,830,443.10","192,640,604.40","204,805,341.30","183,954,179.40","187,633,262.90","191,385,928.20","195,213,646.80","199,117,919.70"
Cash,"6,762,569.80","16,636,675.00","50,448,758.90","61,122,970.80","50,034,921.40","63,059,533.20","45,324,107.20","46,230,589.30","47,155,201.10","48,098,305.10","49,060,271.20"
Accounts Receivable,"9,437,498.80","9,984,742.60","30,911,499.10","30,578,838.60","31,354,469.10","28,028,748.70","34,043,538.70","34,724,409.50","35,418,897.70","36,127,275.60","36,849,821.10"
Inventory,"56,251,089.20","51,636,625.30","69,353,756.10","78,130,082.30","89,521,542.00","83,531,865.10","109,102,558.90","111,284,610.10","113,510,302.30","115,780,508.30","118,096,118.50"
Other current assets,"16,968,444.50","11,707,723.50","21,470,903.10","15,998,551.40","21,729,671.90","30,185,194.30","24,011,060.20","24,491,281.30","24,981,107.00","25,480,729.10","25,990,343.70"
Fixed Asset,"216,252,604.70","201,104,020.90","460,729,561.40","344,616,254.60","352,866,765.00","351,440,756.80","383,416,840.70","391,085,177.50","398,906,881.10","406,885,018.70","415,022,719.10"
"Plant, Property and Equipment","208,295,136.10","189,332,592.90","236,018,930.20","247,931,675.30","260,112,683.00","262,846,190.70","295,182,066.60","301,085,707.90","307,107,422.10","313,249,570.50","319,514,561.90"
Other fixed assets,"7,957,468.60","11,771,428.00","224,710,631.20","96,684,579.30","92,754,082.00","88,594,566.10","88,234,774.10","89,999,469.70","91,799,459.00","93,635,448.10","95,508,157.20"
Total Asset,"305,672,207.00","291,069,787.30","632,914,478.60","530,446,697.70","545,507,369.40","556,246,098.10","567,371,020.10","578,718,440.50","590,292,809.30","602,098,665.50","614,140,638.80"
Current Liability,"69,904,814.40","77,327,020.80","94,520,880.90","67,570,716.30","36,419,227.00","65,847,555.90","91,595,016.30","93,426,916.60","95,295,454.90","97,201,364.00","99,145,391.30"
Accounts Payable,"518,187.00","32,798.40","4,864,889.80","6,472,575.80","6,228,778.50","5,669,108.50","5,267,834.10","5,373,190.70","5,480,654.60","5,590,267.60","5,702,073.00"
Short-term Debt,"31,863,450.00","39,742,389.60","39,338,467.00",0,0,0,"28,646,005.10","29,218,925.20","29,803,303.70","30,399,369.70","31,007,357.10"
Other current liabilities,"37,523,177.40","37,551,832.80","50,317,524.10","61,098,140.50","30,190,448.50","60,178,447.40","57,681,177.20","58,834,800.80","60,011,496.80","61,211,726.60","62,435,961.30"
Long-term Liability,"90,272,907.30","70,557,294.70","31,467,936.00","18,697,914.60","27,805,339.80","28,446,820.40","10,227,458.36","16,945,798.99","23,798,506.43","30,788,268.02","37,917,824.85"
Long-term Debt,"88,080,210.60","70,117,592.30","29,763,719.10",0,0,"2,000,000.00","10,227,458.40","16,945,799.00","23,798,506.40","30,788,268.00","37,917,824.80"
Other long-term liabilities,"2,192,696.70","439,702.40","1,704,216.90","18,697,914.60","27,805,339.80","26,446,820.40","13,724,962.80","13,999,462.00","14,279,451.30","14,565,040.30","14,856,341.00"
Total Liability,"160,177,721.70","147,884,315.50","125,988,816.90","86,268,630.90","64,224,566.80","94,294,376.30","120,713,110.20","154,533,658.80","197,829,810.30","253,256,372.50","324,211,958.40"
Common Stock,"74,287.70","74,287.70","106,418.10","106,418.10","106,418.10","106,418.10","106,418.10","106,418.10","106,418.10","106,418.10","106,418.10"
Retained Earning,"64,725,337.50","62,458,058.90","88,485,128.00","132,917,702.20","154,411,091.70","130,221,480.20","126,134,009.50","128,656,689.70","131,229,823.50","133,854,419.90","136,531,508.30"
Other equity,"80,695,101.50","80,653,366.60","416,851,438.40","309,922,955.70","326,757,304.00","325,476,737.00","325,476,737.00","325,476,737.00","325,476,737.00","325,476,737.00","325,476,737.00"
Total Equity,"145,494,485.30","143,185,471.80","506,925,661.70","444,178,066.80","481,282,802.60","461,951,721.80","451,823,582.70","454,346,262.90","456,919,396.70","459,543,993.10","462,221,081.50"
,,,,,,,,,,,
