Breakdown,2015,2016,2017,2018,2019,2020,2021F,2022F,2023F,2024F,2025F
Current Asset,25821027.4,12861067.6,15734472.1,30801882.5,25263511.7,30110156.7,29010102.37,29590304.41,30182110.5,30785752.71,31401467.77
Cash,119723.3,208589.2,437866.8,199365.9,9122926.8,3810291.1,2558349.654,2609516.647,2661706.98,2714941.119,2769239.942
Accounts Receivable,7732517.9,2745422.3,677057,1540207.4,1710260.6,1206208.8,4544999.505,4635899.495,4728617.485,4823189.834,4919653.631
Inventory,8801514.2,7093530.5,9726880.3,8044072.5,9029628.9,12609179.9,13093734.01,13355608.69,13622720.86,13895175.28,14173078.78
Other current assets,9167272,2813525.6,4892668,21018236.7,5012374.1,11070042.3,11419293.01,11647678.87,11880632.45,12118245.1,12360610
Fixed Asset,30981181.4,37789156,34472745.8,19505122.8,38280414.6,39060799.4,41544272.86,42375158.31,43222661.48,44087114.71,44968857
"Plant, Property and Equipment",28982096.4,17590390.3,17074194.8,19095340.1,33295969.1,32720622.2,30270106.72,30875508.86,31493019.03,32122879.41,32765337
Other fixed assets,1999085,20198765.7,17398551,409782.7,4984445.5,6340177.2,11274166.13,11499649.46,11729642.45,11964235.3,12203520
Total Asset,56802208.8,50650223.6,50207217.9,50307005.3,63543926.3,69170956.1,70554375.22,71965462.73,73404771.98,74872867.42,76370324.77
Current Liability,17735806.2,16744295.3,22137343,16115123.1,6761241.4,7699274.9,20538873.13,20949650.59,21368643.6,21796016.48,22231936.81
Accounts Payable,7666161.5,6162856,3142301.8,2036668,1207731.3,855853,6066964.95,6188304.249,6312070.334,6438311.741,6567077.976
Short-term Debt,8913180.3,9690993.2,14970598.8,12037335.6,1552535.2,2831950.1,11183754.19,11407429.27,11635577.86,11868289.42,12105655.2
Other current liabilities,1156464.4,890446.1,4024442.4,2041119.5,4000974.9,4011471.8,3288153.989,3353917.069,3420995.41,3489415.319,3559203.625
Long-term Liability,12594887.4,9792338.8,6484098.5,7928760,31525975.2,29859732.2,20329385.41,20736341.29,21151436.28,21574833.18,22006698.01
Long-term Debt,12594887.4,9792338.8,6484098.5,7928760,30703828.1,28927705.6,20018799.22,20419543.37,20828302.41,21245236.62,21670509.52
Other long-term liabilities,0,0,0,0,822147.1,932026.6,310586.1935,316797.9174,323133.8758,329596.5533,336188.4843
Total Liability,30330693.6,26536634.1,28621441.5,24043883.1,38287216.6,37559007.1,57912349.64,89295231.67,137684594.9,212296304.3,327340330.5
Common Stock,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400
Retained Earning,17819887,20421433.4,21563186.2,26240532,25272927.3,31628166.6,29667708.28,30261062.44,30866283.69,31483609.37,32113281.56
Total Equity,26471515.2,24113589.5,21585776.4,26263122.2,25256709.7,31611949,29686116.68,30279470.84,30884692.09,31502017.77,32131689.96
