"date","value","volume"
"2007-01-03","3.2","9"
"2007-01-04","3.2","42"
"2007-01-08","3.5","1"
"2007-01-10","3.5","16"
"2007-01-11","3.5","17"
"2007-01-16","3.5","28"
"2007-01-17","3.51","8"
"2007-01-22","3.51","9"
"2007-01-24","3.512","13"
"2007-01-25","3.512","13"
"2007-01-26","3.515","16"
"2007-01-29","3.515","30"
"2007-01-30","3.515","20"
"2007-02-01","3.515","30"
"2007-02-06","3.8","20"
"2007-02-08","3.8","30"
"2007-02-09","3.8","107"
"2007-02-15","3.8","20"
"2007-02-20","3.8","20"
"2007-02-28","4","101"
"2007-03-01","4","20"
"2007-05-23","4.5","51"
"2007-05-24","4.5","40"
"2007-05-31","4.5","178"
"2007-06-07","4.5","28"
"2007-06-12","4.5","20"
"2007-06-13","4.5","20"
"2007-06-15","4.5","19"
"2007-06-18","4.499","72"
"2007-06-21","4.499","22"
"2007-06-26","4.5","205"
"2007-06-28","4.6","35"
"2007-07-02","4.61","8"
"2007-07-05","5","128"
"2007-07-06","5.5","85"
"2007-07-18","5.71","9"
"2007-07-25","5.715","8"
"2007-07-26","6.05","27"
"2007-07-27","6.11","4"
"2007-07-31","8","20"
"2007-08-01","8.001","10"
"2007-08-03","8.5","1"
"2007-08-06","8.5","9"
"2007-08-15","9","33"
"2007-08-16","9.3","33"
"2007-08-21","9.501","42"
"2007-08-22","10.001","55"
"2007-08-24","10.5","30"
"2007-08-27","11","18"
"2007-08-28","11","21"
"2007-08-30","11.5","30"
"2007-08-31","11.5","101"
"2007-09-03","11.55","47"
"2007-09-04","11.55","55"
"2007-09-06","11.55","59"
"2007-09-07","12","29"
"2007-09-10","12","64"
"2007-09-11","12","4"
"2007-09-14","15","2"
"2007-09-21","14","2"
"2007-09-25","14","5"
"2007-09-27","14","68"
"2007-10-03","15","120"
"2007-10-05","12.002","23"
"2007-10-09","13","20"
"2007-10-11","14","98"
"2007-10-12","15","31"
"2007-10-15","15.002","123"
"2007-10-16","15.002","70"
"2007-10-17","15.052","9"
"2007-10-19","15.052","36"
"2007-10-22","15.051","36"
"2007-10-23","15.055","149"
"2007-10-24","15.055","16"
"2007-10-25","15.056","106"
"2007-10-26","15.1","25"
"2007-10-29","15.1","30"
"2007-10-30","15.2","88"
"2007-11-02","15.3","20"
"2007-11-05","15.3","53"
"2007-11-06","15.3","104"
"2007-11-07","15.3","9"
"2007-11-08","15.3","46"
"2007-11-12","15.3","40"
"2007-11-13","15.2","11"
"2007-11-14","15.2","40"
"2007-11-15","15.2","30"
"2007-11-16","15","22"
"2007-11-19","15.2","9"
"2007-11-20","15.2","56"
"2007-11-21","15.2","28"
"2007-11-22","15.2","9"
"2007-11-23","15.2","12"
"2007-11-27","15.203","20"
"2007-11-28","15.2","27"
"2007-11-30","15.201","23"
"2007-12-03","15.5","20"
"2007-12-04","15.5","10"
"2007-12-06","15.5","19"
"2007-12-10","15.5","50"
"2007-12-12","16","30"
"2007-12-13","16.01","9"
"2007-12-18","17.8","18"
"2007-12-19","18","29"
"2007-12-20","18.5","7"
"2007-12-21","18.5","99"
"2007-12-24","18.5","30"
"2007-12-25","19","20"
"2007-12-26","19","34"
"2007-12-27","19","10"
"2008-01-03","19","5"
"2008-01-07","19","80"
"2008-01-08","19","43"
"2008-01-09","19","6"
"2008-01-10","19","122"
"2008-01-15","19.5","49"
"2008-01-17","20","34"
"2008-01-18","19","14"
"2008-01-22","21.85","56"
"2008-01-23","21.85","9"
"2008-01-24","23","30"
"2008-01-25","22.5","28"
"2008-01-28","23","1"
"2008-01-29","23","19"
"2008-01-30","23","208"
"2008-01-31","22.5","20"
"2008-02-01","25","265"
"2008-02-04","28","264"
"2008-02-05","30","83"
"2008-02-06","30","19"
"2008-02-07","30.505","105"
"2008-02-11","33.5","37"
"2008-02-12","38.525","40"
"2008-02-13","43.89","354"
"2008-02-14","45","221"
"2008-02-15","45","300"
"2008-02-18","44","457"
"2008-02-19","43.95","127"
"2008-02-20","43.4","0"
"2008-02-21","43","131"
"2008-02-22","41","51"
"2008-02-25","41","294"
"2008-02-26","42","219"
"2008-02-27","42","125"
"2008-02-28","47.5","311"
"2008-02-29","54","230"
"2008-03-03","55","402"
"2008-03-04","54","218"
"2008-03-05","54","1"
"2008-03-06","54.5","360"
"2008-03-07","62","553"
"2008-03-10","64","500"
"2008-03-11","65","393"
"2008-03-12","74","199"
"2008-03-13","85","205"
"2008-03-14","85.1","73"
"2008-03-20","90","238"
"2008-03-21","90","183"
"2008-03-25","88.5","9"
"2008-03-26","88","110"
"2008-03-27","87","173"
"2008-04-09","76","153"
"2008-04-10","74.4","35"
"2008-04-18","64","141"
"2008-04-21","60","182"
"2008-04-23","59.5","219"
"2008-04-24","59.5","45"
"2008-04-25","59.5","143"
"2008-05-21","59.5","13"
"2008-05-30","55","56"
"2008-06-02","55","26"
"2008-06-04","54.5","18"
"2008-06-06","53","29"
"2008-06-09","52.9","16"
"2008-06-12","47.9","27"
"2008-06-13","47.999","154"
"2008-06-16","51","291"
"2008-06-17","52","17"
"2008-06-18","53","43"
"2008-06-19","54","37"
"2008-06-23","54","2"
"2008-07-15","62.1","200"
"2008-07-16","71.4","300"
"2008-07-17","82","97834"
"2008-07-18","92","54876"
"2008-07-21","91.5","38498"
"2008-07-22","86.1","34322"
"2008-07-23","86.1","11647"
"2008-07-24","83","7560"
"2008-07-25","88","46967"
"2008-07-28","81.9","56481"
"2008-07-29","82.5","2572"
"2008-07-30","80","3068"
"2008-07-31","71.5","16334"
"2008-08-01","77","33086"
"2008-08-04","77","14240"
"2008-08-05","78","7310"
"2008-08-06","78","10103"
"2008-08-07","80","5537"
"2008-08-08","85","6790"
"2008-08-11","86","9770"
"2008-08-12","86","1073"
"2008-08-13","85.5","300"
"2008-08-14","84.9","118"
"2008-08-15","85.5","11129"
"2008-08-18","83","10833"
"2008-08-19","83","297"
"2008-08-20","82.5","3400"
"2008-08-21","82.9","2470"
"2008-08-22","80","4880"
"2008-08-25","78","3270"
"2008-08-26","75.5","4785"
"2008-08-27","75","4757"
"2008-08-28","82","1268"
"2008-09-01","81.9","500"
"2008-09-02","80","3000"
"2008-09-03","80","563"
"2008-09-05","75","2000"
"2008-09-08","73","636"
"2008-10-20","55","4987"
"2008-10-21","54.9","3130"
"2008-10-22","53","410"
"2008-10-23","50","406"
"2008-10-24","42.5","901"
"2008-10-27","42.5","1999"
"2008-10-28","37","2100"
"2008-10-29","37","1150"
"2008-10-30","36","450"
"2008-10-31","36.5","305"
"2008-11-03","36","906"
"2008-11-04","35","1388"
"2008-11-05","34.8","244"
"2008-11-06","34","3720"
"2008-11-07","30","4466"
"2008-11-10","34.5","5730"
"2008-11-11","39.6","7962"
"2008-11-12","45.5","1000"
"2008-11-13","52.3","12206"
"2008-11-14","52.1","1052"
"2008-11-17","45.6","200"
"2008-11-18","48.5","675"
"2008-11-19","49.5","5420"
"2008-11-21","49","6997"
"2008-11-24","48","4852"
"2008-11-25","51","3418"
"2008-11-27","50","1220"
"2008-11-28","49.5","4007"
"2008-12-01","47","3489"
"2008-12-02","47","2519"
"2008-12-03","46.5","2470"
"2008-12-04","44.4","1000"
"2008-12-05","45","861"
"2008-12-08","39.6","309"
"2008-12-09","43","680"
"2008-12-10","42","600"
"2008-12-11","45","8990"
"2008-12-12","41","2292"
"2008-12-15","40.5","250"
"2008-12-16","40","168"
"2008-12-18","39.5","2745"
"2008-12-22","39","42"
"2008-12-23","38","2985"
"2008-12-24","37.9","1960"
"2008-12-25","39.5","6609"
"2008-12-26","39.5","177"
"2008-12-29","39.5","1960"
"2008-12-30","39.6","770"
"2008-12-31","43","8731"
"2009-01-02","43","30"
"2009-01-05","43","1000"
"2009-01-06","43","2301"
"2009-01-07","48","2457"
"2009-01-08","45","3875"
"2009-01-12","45","538"
"2009-01-13","44","1537"
"2009-01-14","40","1159"
"2009-01-15","41.2","353"
"2009-01-19","44.4","408"
"2009-01-20","38","443"
"2009-01-21","32.3","5981"
"2009-01-22","37","1016"
"2009-01-23","37","698"
"2009-01-27","33.5","2436"
"2009-01-29","38.5","2021"
"2009-01-30","35","300"
"2009-02-02","35","920"
"2009-02-03","40.2","248"
"2009-02-04","40","1045"
"2009-02-05","35.1","658"
"2009-02-06","40","210"
"2009-02-09","40","426"
"2009-02-10","42","14313"
"2009-02-11","40","3900"
"2009-02-12","40.2","4153"
"2009-02-13","44","3017"
"2009-02-16","43","990"
"2009-02-17","43.5","1757"
"2009-02-18","42","2568"
"2009-02-19","42","4316"
"2009-02-20","42","2"
"2009-02-21","42","12"
"2009-02-23","39.1","2200"
"2009-02-24","40","600"
"2009-03-02","42","600"
"2009-03-05","42","5186"
"2009-03-06","43.8","157"
"2009-03-09","45","3085"
"2009-03-10","44.9","12644"
"2009-03-12","44.5","7985"
"2009-03-13","45","3797"
"2009-03-16","44.5","390"
"2009-03-17","44","1222"
"2009-03-18","44","472"
"2009-03-24","43","2950"
"2009-03-25","43","5000"
"2009-03-26","43.5","1400"
"2009-03-27","44","500"
"2009-03-30","43","1343"
"2009-03-31","43","100"
"2009-04-01","42.5","300"
"2009-04-02","43.5","3306"
"2009-04-03","43","899"
"2009-04-07","42.5","7926"
"2009-04-08","42","1192"
"2009-04-09","41.9","40"
"2009-04-10","41.8","33"
"2009-04-13","40","3025"
"2009-04-14","38","2336"
"2009-04-15","37","110"
"2009-04-16","38.1","6381"
"2009-04-17","39.5","860"
"2009-04-20","42","21499"
"2009-04-21","42","5079"
"2009-04-23","40.5","1090"
"2009-04-24","38.5","100"
"2009-04-27","42","1821"
"2009-04-28","44.9","4500"
"2009-04-29","45","877"
