"date","value","volume"
"2007-05-24","0.5","5"
"2007-09-20","0.5","1"
"2007-09-28","0.61","70"
"2007-10-10","0.601","1"
"2007-10-16","0.8","67"
"2007-10-24","0.9","1"
"2007-10-26","0.9","70"
"2007-11-13","0.9","1"
"2008-04-25","0.9","10"
"2008-11-27","1","70"
"2009-01-20","1.149","1"
"2009-01-26","1.321","113730"
"2009-02-17","1.321","7"
"2009-02-21","1.5","1"
"2009-02-24","1.721","2"
"2009-03-05","1.979","1"
"2009-04-24","2.275","95"
"2009-05-12","2.275","70"
"2009-06-12","2.275","263"
"2009-06-15","2.275","3"
"2009-06-16","2.275","6"
"2009-07-21","2.275","67"
"2009-08-07","2.3","7"
"2009-10-12","2.645","70"
"2009-10-13","3","12"
"2009-10-14","3.45","28"
"2009-10-16","3.967","30"
"2009-10-21","4.561","5"
"2009-11-10","3.877","28"
"2009-12-17","3.9","1"
"2010-01-12","3.9","8"
"2010-01-12","3.9","8"
"2010-01-21","3.9","1"
"2010-02-12","3.32","20"
"2010-02-17","2.83","5"
"2010-02-19","2.831","70"
"2010-04-14","2.8","70"
"2010-06-21","2.8","3"
"2010-07-19","3.22","5"
"2010-08-20","3.2","70"
"2010-09-02","3.5","73"
"2010-09-03","3.681","13"
"2010-09-14","4.233","29"
"2010-09-15","4.234","1"
"2010-09-21","4.233","1"
"2010-09-22","4.233","69"
"2010-09-24","4.235","125"
"2010-10-04","4.6","9"
"2010-10-05","4.6","1"
"2010-10-06","4.6","5"
"2010-10-07","4.601","55"
"2010-10-08","4.75","10"
"2010-10-09","4.75","10"
"2010-10-12","5","10"
"2010-10-13","5.5","10"
"2010-10-14","6","10"
"2010-10-15","6.9","10"
"2010-10-18","7.935","10"
"2010-10-19","9.125","13"
"2010-10-21","10","49"
"2010-10-25","10.49","2"
"2010-10-26","10.49","3"
"2010-11-01","12","8"
"2010-11-04","13.8","3"
"2010-11-15","15.87","6"
"2010-11-18","18.25","2"
"2010-11-23","20.987","1"
"2010-12-03","20.987","1"
"2010-12-24","20.987","90"
"2011-01-12","24.1","119"
"2011-01-27","25","30"
"2011-02-02","28.5","3"
"2011-02-14","32.775","2"
"2011-02-16","37.691","101"
"2011-02-17","43.344","26"
"2011-02-21","43.344","1"
"2011-02-23","49.845","1"
"2011-02-28","57.321","21"
"2011-03-01","65.815","4"
"2011-03-02","57.321","4"
"2011-03-03","65.919","76"
"2011-03-14","59.5","10"
"2011-03-15","50.575","6"
"2011-03-16","42.989","22"
"2011-03-17","42.989","4"
"2011-03-18","43","20"
"2011-03-22","42","27"
"2011-03-30","35.7","93"
"2011-04-05","30.345","10"
"2011-04-06","25.794","10"
"2011-04-08","29","92"
"2011-04-08","33","18"
"2011-04-14","37.95","2"
"2011-04-18","37.951","170"
"2011-04-20","42","1"
"2011-04-26","38.065","196"
"2011-04-28","43","10"
"2011-04-29","45","85"
"2011-05-02","49","6"
"2011-05-09","42","45"
"2011-05-20","43","135"
"2011-05-23","43","4"
"2011-05-26","43","76"
"2011-06-02","46","1"
"2011-06-03","48.3","15"
"2011-06-22","55","15"
"2011-06-23","55","5"
"2011-06-29","50","33"
"2011-06-30","50","100"
"2011-07-08","55.545","2"
"2011-07-21","63.876","2"
"2011-07-26","73.457","5"
"2011-07-28","73","5"
"2011-07-29","73.001","67"
"2011-08-02","83.951","5"
"2011-08-03","83.951","34"
"2011-08-04","96.543","23"
"2011-08-09","89","10"
"2011-08-10","80","66"
"2011-08-16","78","32"
"2011-08-23","78","50"
"2011-09-15","70","23"
"2011-09-19","70","10"
"2011-09-23","70","18"
"2011-10-11","70","70"
"2011-10-12","69.999","1"
"2011-10-21","69.999","55"
"2011-10-26","70","96"
"2011-10-31","70","28"
"2011-11-07","70","79"
"2011-11-14","70","28"
"2011-11-29","70","10"
"2011-12-06","65","62"
"2011-12-21","62","7"
"2011-12-23","62.001","1"
"2011-12-28","65","10"
"2012-01-04","65","2"
"2012-01-05","65.002","70"
"2012-01-06","65.002","46"
"2012-01-10","65","38"
"2012-01-11","65","3"
"2012-01-18","65","5"
"2012-01-19","65","24"
"2012-01-20","63","70"
"2012-04-09","80.325","35"
"2012-04-16","80.325","87"
"2012-04-25","80","84"
"2012-05-04","80","17"
"2012-05-14","80.325","24"
"2012-05-15","80.005","15"
"2012-05-17","80.005","71"
"2012-05-25","80.005","81"
"2012-05-31","80","1"
"2012-06-06","80","50"
"2012-06-11","80","70"
"2012-06-13","80.001","164"
"2012-06-21","80","4"
"2012-06-22","80","1"
"2012-06-25","79.5","10"
"2012-06-26","79.5","5"
"2012-08-22","80","1"
"2012-10-02","80","25"
"2012-10-17","80","2"
"2012-10-18","80","2"
"2012-12-04","72.5","74"
"2012-12-10","80","60"
"2012-12-13","80","120"
"2012-12-26","80","140"
"2012-12-28","80","1"
"2013-01-04","80","13"
"2013-03-13","80","10"
